number,name,about,okruh,
1,Андрейко Василь Миколайович,,№ 4 Городенківський район (Виноградський в.о. № 54),
2,Арсенич Петро Іванович,,№8 Косівський район (Кутський в.о. № 86),
3,Бабій Василь Іванович,,№1 Богородчанський район (Саджавський в. о. № 40),
4,Бачериков Євген Васильович,,№ 12 Снятинський район (Вовчківський в.о.№ 122),
5,Беляшова Ганна Павлівна,,№ 13 Тисменицький район (Загвіздянський в.о. № 129),
6,Блонський Роман Васильович,,№ 4 Городенківський район (Городенківський в.о. № 53),
7,Боброва Любов Юріївна,,№ 5 Долинський район (Надіївський в.о. № 65),
8,Богайчук Ярема Франкович,,№ 14 Тлумацький район (Тлумацький в.о. № 135),
9,Божовська Марія Михайлівна,,№ 12 Снятинський район (Стецівський в.о.№ 125),
10,Бойкевич Олег Йосипович,,№ 10 Рогатинський район (Верхньолипецький в.о. № 107),
11,Борковська Ярослава Дмитрівна,,№1 Богородчанський район (Богородчанський в.о. № 35),
12,Борович Богдан Карлович,,№ 15 м. Івано-Франківськ (Івано-Франківський в.о. № 12),
13,Вацеба Орест Миколайович,,№ 13 Тисменицький район (Черніївський в.о. № 133),
14,Волков Олександр Миколайович,,№ 15 м. Івано-Франківськ Івано-Франківський в.о. № 18),
15,Волковецький Степан Васильович,,№ 5 Долинський район (Витвицький в.о. № 64),
16,Воробець Мирон Йосипович,,№ 5 Долинський район (Долинський в.о. № 61),
17,Гаврилюк Ігор Іванович,,№ 6 Калуський район (Голинський в.о. № 72),
18,Гаврилюк Роман Богданович,,№ 19 м. Яремче (Ворохтянський в. о. № 34),
19,Ганущак Василь Дмитрович,,№ 17 м. Калуш (Калуський в.о. № 22),
20,Гірник Євген Олексійович,,№ 17 м. Калуш (Калуський в.о. № 25),
21,Головатий Михайло Іванович,,№ 15 м. Івано-Франківськ (Івано-Франківський в.о. № 3),
22,Голод Ігор Миронович,,№ 10 Рогатинський район (Конюшківський в.о. № 108),
23,Голодюк Борис Борисович,,№ 15 м. Івано-Франківськ (Івано-Франківський в.о. № 17),
24,Горбаль Степан Іванович,,№ 14 Тлумацький район (Живачіський в.о.№ 137),
25,Гордієнко Василь Дмитрович,,№ 13 Тисменицький район (Жовтневий в.о. № 127),
26,Грешук Ганна Михайлівна,,№ 4 Городенківський район (Назаренківський в.о. № 55),
27,Григораш Ігор Іванович,,№ 5 Долинський район (Тисівський в.о. № 66),
28,Дарвай Іван Михайлович,,№ 15 м. Івано-Франківськ (Івано-Франківський в.о. № 11),
29,Дацьо Іван Дмитрович,,№ 5 Долинський район (Шевченківський в. о. № 68),
30,Децик Дарія Романівна,,№9 Надвірнянський район (Гаврилівський в.о. № 101),
31,Дмитрів Василь Васильович,,№ 13 Тисменицький район (Підпечерівський в.о. № 131),
32,Довганюк Ігор Дмитрович,,№ 18 м. Коломия (Коломийський в.о. № 27),
33,Дума Зіновій Євгенович,,№ 15 м. Івано-Франківськ (Івано-Франківський в.о. № 20),
34,Дуриба Юрій Матвійович,,№ 6 Калуський район (Негівський в.о. № 73),
35,Дутчак Антон Григорович,,№1 Богородчанський район (Горохолинський в. о. № 37),
36,Дяків Іван Михайлович,,№ 14 Тлумацький район (Обертинський в.о. № 136),
37,3ахарія Роман Прокопович,,№ 17 м. Калуш (Калуський в.о. № 26),
38,Захарія Ярослав Григорович,,№ 12 Снятинський район (Джурівський в.о. № 124),
39,Захарук Дмитро Васильович,,№ 18 м. Коломия (Коломийський в.о. № 30),
40,Івасюк Василь Петрович,,№ 17 м. Калуш (Калуський в.о. № 24),
41,Калуцький Іван Федорович,,№2 Верховинський район (Красноїлівський в.о. № 44),
42,Канюка Богдан Степанович,,№3 Галицький район (Бурштинський в. о. № 48),
43,Книгиницький Мирослав Михайлович,,№7 Коломийський район (П’ядицький в.о. № 82),
44,Кнігніцький Юрій Миколайович,,№8 Косівський район (Пістинський в.о. № 91),
45,Кобрин Микола Юрійович,,№ 13 Тисменицький район (Ямницький в.о. № 134),
46,Коваль Ігор Михайлович,,№3 Галицький район (Комарівський в.о.№ 51),
47,Ковальчук Володимир Дмитрович,,№ 11 Рожнятівський район (Перегінський в.о. № 114),
48,Ковтун Федір Михайлович,,№9 Надвірнянський район (Переріслянський в.о.№ 103),
49,Козьменко Іван Васильович,,№7 Коломийський район (Печеніжинський в.о. № 76),
50,Колодій Карпо Олександрович,,№9 Надвірнянський район (Делятинський в.о.№ 98),
51,Конопада Ярослав Васильович,,№ 10 Рогатинський район (Рогатииськии в.о. № 105),
52,Корнеюк Петро Дмитрович,,№8 Косівський район (Косівський в.о. № 85),
53,Королик Василь Євстахович,,№ 14 Тлумацький район (Нижнівський в.о.№ 139),
54,Корчинський Віктор Олександрович,,№7 Коломийський район (Турківський в.о. № 84),
55,Костів Іван Юрійович,,№ 6 Калуський район (Верхнянський в.о. № 71),
56,Крайник Богдан Іванович,,№7 Коломийський район (Підгайчиківський в.о. № 81),
57,Кричун Василь Федорович,,№ 15 м. Івано-Франківськ (Івано-Франківський в.о. № 2),
58,Крук Василь Григорович,,№3 Галицький район (Галицький в.о. № 46),
59,Круцик Роман Миколайович,,№ 15 м. Івано-Франківськ (Івано-Франківський в.о. № 8),
