number,name,about,okruh
1,Басараб Сергій Михайлович,"Освіта вища, член Політичної партії ""Фронт Змін"", ТзОВ ""Івано-Франківськ міськбуд"", директор",5
2,Бережанський Тарас Володимирович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , Громадська організація ""Освічена країна"", керівник",26
3,Благодир Сергій Миколайович,"Освіта вища, член Партії регіонів, Прикарпатський юридичний інститут Львівського державного університету внутрішніх справ, доцент, професор кафедри",25
4,Бурко Віталій Миколайович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , ДП ""Станиславівавтотранс"" ВАТ ""Прикарпат-Агро МТС"", директор",14
5,Вагилевич Мар’ян Володимирович,"Освіта вища, позапартійний, ПП""Трейд-Груп"", директор",29
6,Вітенко Микола Іванович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , тимчасово не працює",15
7,Войтичук Олексій Олексійович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , ІФ Регіональне відділення Асоціації міст України, виконавчий директор",27
8,Гнатів Андрій Ігорович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , Івано-Франківська філія ПАТ ""Західінкомбанк"", юрист",9
9,Голодюк Наталія Миколаївна,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , ТОВ ""Діпрогаз"", провідний інженер технологіч-ного відділу",1
10,Голутяк Віталій Юрійович,"Освіта вища, позапартійний, ТзОВ""Місто-НВ"", менеджер зв’язків з громадськістю",12
11,Гончарук Олег Романович,"Освіта вища, член Політичної партії ""Фронт Змін"", ТзОВ ""Лігос"", генеральний директор",13
12,Грималюк Андрій Васильович,"Освіта незакінчена вища, позапартійний, ПП ""Рекламно-виробнича компанія ""Трамплін"", керівник відділу інформаційно-аналітичної роботи",28
13,Дубас Ярослав Володимирович,"Освіта вища, позапартійний, Івано-Франківська центральна міська клінічна лікарня, лікар-інтерн",20
14,Капустяк Олег Іванович,"Освіта незакінчена вища, член Всеукраїнського об’єднання ""Свобода"" , ПП ""Рекламно-виробнича компанія ""Трамплін"""", директор",24
15,Кімачук Роман Михайлович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , приватний підприємець",22
16,Клипич Олег Михайлович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , приватний підприємець",8
17,Колковський Володимир Зіновійович,"Освіта незакінчена вища, позапартійний, ПП ""СКОЛ"", директор",16
18,Кукурудз Ростислав Степанович,"Освіта вища, член Політичної партії ""Фронт Змін"", ПП ""РОСТІМКС"", директор",2
19,Кушнір Володимир Степанович,"Освіта вища, член Української республіканської партії , приватний підприємець",23
20,Маркута Іван Тарасович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , тимчасово не працює",7
21,Микула Роман Васильович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , ТОВ ""Гринком"", виконавчий директор",19
22,Олексин Лариса Миколаївна,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , Обласна наукова медична бібліотека, завідувач сектору читального залу",4
23,Онуфріїв Роман Михайлович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , ТзОВ""Місто-НВ"", директор",18
24,Ревчук Василь Іванович,"Освіта вища, член Всеукраїнського об’єднання ""Батьківщина"", загальноосвітня школа №6 ім. І. Ревчука м. Івано-Франківськ, вчитель",21
25,Савчук Оксана Василівна,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , Дитячо-юнацький пластовий центр при управлінні освіти і науки Івано-Франківського міськвиконкому, методист",11
26,Стефанко Сергій Львович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , Івано-Франківський національний медичний університет, асистент кафедри акушерства та гінекології",6
27,Тютюник Андрій Богданович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , ТзОВ""Місто-НВ"", менеджер",30
28,Харук Роман Романович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , ВАТ ""Прикарпат-Агро МТС"", комерційний директор",3
29,Шуляр Юрій Володимирович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , приватний підприємець",17
30,Яцинович Микола Ярополкович,"Освіта вища, позапартійний, приватний підприємець",10
