number,name,about,okruh
1,Адамович Сергій Васильович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , Прикарпатський національний університет ім. В. Стефаника, доцент кафедри теорії та історії держави і права Юридичного інституту",44
2,Андрусяк Михайло Миколайович,"Освіта вища, позапартійний, ВАТ ""Коломийська друкарня ім. Шухевича"", голова правління",б/м
3,Артемович Іван Михайлович,"Освіта вища, позапартійний, ВАТ Хутрофірма ""Тисмениця"", голова правління",37
4,Артим Василь Іванович,"Освіта вища, член Всеукраїнського об’єднання ""Батьківщина"", Газета ""Рідна земля"", головний редактор",б/м
5,Бабій Ольга Михайлівна,"Освіта вища, член Політичної партії ""Наша Україна"", обласне телебачення ""Галичина"", генеральний директор",б/м
6,Бабій Юрій Юрійович,"Освіта вища, член Політичної партії ""Фронт Змін"", виконком Івано-Франківської обласної організації ПП ""Фронт Змін"", голова",б/м
7,Бартошак Володимир Анатолійович,"Освіта вища, член Партії регіонів, ВАТ ""Городенківський сирзавод"", голова правління",б/м
8,Бежук Василь Михайлович,"Освіта вища, позапартійний, ТОВ ""Тетра ЛТД"", директор",б/м
9,Беляшова Анна Павлівна,"Освіта вища, член Політичної партії ""Наша Україна"", Івано-Франківська обласна рада, виконавчий апарат, заступник керуючого справами – начальник відділу організаційної роботи",б/м
10,Береговський Зіновій Леонідович,"Освіта вища, член Політичної партії ""Наша Україна"", Івано-Франківська обласна рада, перший заступник голови",9
11,Білик Роман Павлович,"Освіта вища, член Політичної партії ""За Україну!"", приватний підприємець",35
12,Болюк Зінаїда Андріївна,"Освіта вища, член Української Народної Партії, Івано-Франківська обласна державна адміністрація, начальник головного управління освіти і науки ода",б/м
13,Брус Василь Хомич,"Освіта вища, позапартійний, Івано-Франківська обласна державна адміністрація, заступник голови",1
14,Будз Володимир Іванович,"Освіта вища, член Всеукраїнського об’єднання ""Батьківщина"", ВАТ ""Тернопільгаз"", голова наглядової ради",б/м
15,Винник Михайло Іванович,"Освіта вища, член Української Народної Партії, Корпорація ""Гал-продукт"", президент корпорації",29
16,Вишиванюк Михайло Васильович,"Освіта вища, позапартійний, Івано-Франківська обласна державна адміністрація, голова",52
17,Вівчарик Василь Петрович,"Освіта вища, позапартійний, ТзОВ ""Злагода-4"", голова товариства",11
18,Волковецький Степан Васильович,"Освіта вища, позапартійний, Івано-Франківське об’єднання Всеукраїнського товариства ""Просвіта"" іменіТ. Шевченка, голова",б/м
19,Гдичинський Богдан Петрович,"Освіта вища, позапартійний, Міністерство юстиції України, заступник міністра",53
20,Гнип Михайло Петрович,"Освіта вища, позапартійний, ВАТ ""Укрнафта"", технічний директор",13
21,Гоголь Ярослава Михайлівна,"Освіта вища, член Всеукраїнського об’єднання ""Батьківщина"", приватний підприємець",б/м
22,Головчак Василь Федорович,"Освіта вища, член Української Народної Партії, Державне управління охорони навколиш-нього природного середовищав Івано-Франківській області, перший заступник началь-ника державного управління",б/м
23,Голубчак Олексій Іванович,"Освіта вища, член Народної партії , Обласне управління лісового та мисливського господарства в Івано-Франківській області, начальник обласного управління",33
24,Грабовецький Володимир Миколайович,"Освіта вища, позапартійний, Благодійна організація ""Всеукраїнський благодійний фонд Юрія Дерев’янко"", голова",25
25,Гусак Руслан Олегович,"Освіта вища, член Партії регіонів, облдержадміністрація, заступник голови",б/м
26,Данилишин Іван Ярославович,"Освіта вища, член Політичної партії ""Фронт Змін"", фізкультурно-спортивний комплекс ""Локомотив"", тренер-викладач",б/м
27,Данів Іван Михайлович,"Освіта вища, позапартійний, ОКП ""Івано-Франківськоблагроліс"", генеральний директор",18
28,Дейчаківський Ігор Іванович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , Українська гімназія №1, директор",б/м
29,Джура Олександр Дмитрович,"Освіта вища, позапартійний, Бурштинський енергетичний коледж Івано-Франківського національного технічного університету нафти і газу, директор",8
30,Дзвінчук Дмитро Іванович,"Освіта вища, член Політичної партії ""Фронт Змін"", ІФНТУНГ, завідувач кафедри державного управління",б/м
31,Дзеса Остап Васильович,"Освіта вища, член Політичної партії ""Наша Україна"", Івано-Франківська обласна рада, заступник голови",15
32,Дрінь Роман Миколайович,"Освіта вища, позапартійний, Долинська ЦРЛ, акушерсько-гінекологічне відділення, завідувач",48
33,Дронь Анатолій Володимирович,"Освіта вища, член Всеукраїнського об’єднання ""Батьківщина"", Верховна Рада України, помічник-консультант народного депутата України",б/м
34,Дуб Наталія Михайлівна,"Освіта вища, позапартійна, Фінансове управління виконкому Болехівської міської ради, начальник",47
35,Дякур Дмитро Дмитрович,"Освіта вища, член Всеукраїнського об’єднання ""Батьківщина"", Філія ""Снятинський райавтодор"" ДП ""Івано-Франківський облавтодор"", начальник",34
36,Єфімчук Ярослав Володимирович,"Освіта вища, член Народного Руху України, управа Народного Руху України в м. Києві, керівник управи",б/м
37,Загурський Олег Васильович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , тимчасово не працює",б/м
38,Захарук Дмитро Васильович,"Освіта вища, позапартійний, пенсіонер",б/м
39,Зелик Руслан Богданович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , Державний департамент інтелектуальної власності, головний державний інспектор",б/м
40,Зелінський Микола Романович,"Освіта вища, член Всеукраїнського об’єднання ""Батьківщина"", тимчасово не працює",38
41,Іванишин Володимир Васильович,"Освіта вища, член Політичної партії ""Фронт Змін"", ТОВ ""Тикаферлюкс"", директор",б/м
42,Івасюк Ігор Миколайович,"Освіта вища, член Всеукраїнського об’єднання ""Свобода"" , тимчасово не працює",б/м
43,Карабін Мирослав Євгенович,"Освіта вища, член Партії ""ВІДРОДЖЕННЯ"", Управління молоді, сім""ї та спорту Івано-Франківської ОДА, начальник",4
44,Келестин Юрій Васильович,"Освіта вища, позапартійний, ЗАТ ""Техно-центр"", голова наглядової ради",30
